user.screen_name,user.name,user.id_str,user.created_at,user.description,user.location,user.url,user.followers_count,user.friends_count,user.statuses_count,user.lang,user.time_zone,user.geo_enabled,user.verified,topsy.influence,text,id_str,created_at,retweet_count,in_reply_to_screen_name,in_reply_to_status_id_str,source,coordinates.type,coordinates.coordinates.0,coordinates.coordinates.1,topsy.location.search_id,topsy.document_info.lang,topsy.document_info.sentiment	
MichelesWeb,MichelesWebDesign,43663110,Sun May 31 08:34:49 +0000 2009,Freelance Web Design & Development - Super Low Rates - 23+ Yrs Exp. No outsourcing - Entrepreneur - Web Designer - Programmer - Web Developer                  ,US Freelancer - Telecommute,http://www.micheleswebdesign.com,207,32,30318,en,Pacific Time (US & Canada),,,,"RT @ESA_org: Putting a bird on it, explained. http://t.co/FU3PJfrC #ESA2012 #Portlandia",225654962963755008,Wed Jul 18 18:15:10 +0000 2012,1,,,web,,,,us,en,	
DrHolly,Holly Menninger,15163872,Wed Jun 18 23:42:59 +0000 2008,Scientist. Communicator. Lover of all things arthropod.,"Ithaca, NY",http://hollymenninger.com/,800,666,2151,en,Eastern Time (US & Canada),,,,"@EmilyMeineke &amp; I were JUST laughing abt this over lunch! RT @ESA_org: Put a bird on it, explained http://t.co/0U6k8CSa #ESA2012 #Portlandia",225657565235781632,Wed Jul 18 18:25:30 +0000 2012,,EmilyMeineke,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,	
_inundata,Inundata,267256091,Wed Mar 16 16:03:46 +0000 2011," I'm an ecologist at UC Berkeley and I blog/tweet about open science, ecology, R, and big data.",San Francisco,http://inundata.org/,270,223,620,en,,,,,Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kHT0LhTM cost = $0,225679331224068098,Wed Jul 18 19:52:00 +0000 2012,,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,	
rOpenSci,rOpenSci,342250615,Mon Jul 25 18:24:54 +0000 2011,rOpenSci develops R-based tools to facilitate open science. G+(http://bit.ly/wJgSXf). Tweets by @recology_,,http://ropensci.org,385,166,755,en,,True,,,RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kHT0LhTM cost = $0,225679403542261760,Wed Jul 18 19:52:17 +0000 2012,,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,,en,	
weecology,weecology,41852856,Fri May 22 16:58:12 +0000 2009,"Interdisciplinary ecological research group run by @ethanwhite and @skmorgane.	
We blog at http://jabberwocky.weecology.org","Logan, UT",http://weecology.org,205,49,271,en,Mountain Time (US & Canada),,,,RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kHT0LhTM cost = $0,225680412612112386,Wed Jul 18 19:56:17 +0000 2012,3,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,,en,	
ethanwhite,Ethan White,34540379,Thu Apr 23 05:10:52 +0000 2009,"I'm a happily married dad and a scientist. I like computers, math, stats, and good scotch. I believe in the importance of open science and a free and open web.","Logan, UT",http://whitelab.weecology.org,199,103,1074,en,Mountain Time (US & Canada),,,,RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kHT0LhTM cost = $0,225680412624711680,Wed Jul 18 19:56:17 +0000 2012,3,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,,en,	
duffy_ma,Meghan Duffy,453892183,Tue Jan 03 11:50:55 +0000 2012,Asst Prof at Georgia Tech; moving to UMich EEB in August; disease ecologist; unintentionally studying additional infectious diseases thanks to my toddler,"Atlanta, GA",http://duffylab.biology.gatech.edu/,229,315,1440,en,,,,,RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kHT0LhTM cost = $0,225682720628555777,Wed Jul 18 20:05:28 +0000 2012,3,,,web,,,,us/georgia,en,	
KTInvasion,Kathryn Turner,408756176,Wed Nov 09 21:05:08 +0000 2011,"Evolutionary ecologist focused on invasive species. Ethnobotany nerd. I heart science, generally.","Vancouver, Canada",http://alienplantation.com,66,123,243,en,Alaska,,,,"@_inundata #ESA2012 paperwork says ""WK-45 – WK-50: are offered at no charge, advance registration is not required"" So can I just show up?",225694534061944832,Wed Jul 18 20:52:24 +0000 2012,,_inundata,225679331224068098,web,,,,,en,	
datadryad,Dryad,93950513,Tue Dec 01 21:45:50 +0000 2009,"Dryad is an international repository of data underlying peer-reviewed articles in the basic and applied biosciences. 	
     Publish your data in Dryad!",,http://datadryad.org,1126,2001,418,en,Eastern Time (US & Canada),,,,RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kCw1wemO cost = $0,225700863728037889,Wed Jul 18 21:17:33 +0000 2012,,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,	
melbaek,Mikael K. Elbæk,24729103,Mon Mar 16 17:21:51 +0000 2009,"Point guard - counting the assists not the scores. Project facilitator, Open Science fan. Tweets about the open side of science + random tech  and fun stuff.",Copenhagen,http://followgram.me/u/463843/,115,207,855,en,Copenhagen,,,,RT @datadryad: RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kCw1wem ...,225702916848242688,Wed Jul 18 21:25:43 +0000 2012,,,,web,,,,us,en,	
