acceleration,firstpost_date,highlight,influential,medium_thumbnail,metrics,momentum,peak,score,small_thumbnail,title,trackback_date,trackback_total,type,url
54,"Aug 07, 2012 16:05 (UTC)","Now at #ESA2012, Raz-Yaseef is showing very useful figures from Dawson et al 2011 http://t.co/o68FIJnu http://t.co/rOJ45rfO",0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AztSHckCMAAWjnJ.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,14,9.85307,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AztSHckCMAAWjnJ.jpg%3Asmall,"Now at #ESA2012, Raz-Yaseef is showing very useful figures from Dawson et al 2011","Aug 07, 2012 16:05 (UTC)",1,image,http://p.twimg.com/AztSHckCMAAWjnJ.jpg
64,"Aug 10, 2012 06:22 (UTC)","&quot;What&#39;s that sound, like a distant flock of birds twittering?&quot;, asks LinnÌ©. &quot;Your intellectual descendants @ #ESA2012&quot; http://t.co/RlbiY2Cs",1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az6pbu9CYAAxS6s.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,11,9.84251,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az6pbu9CYAAxS6s.jpg%3Asmall,"What's that sound, like a distant flock of birds twittering?&quot;, asks LinnÌ©. &quot;Your intellectual descendants #ESA2012&quot;","Aug 10, 2012 06:22 (UTC)",1,image,http://p.twimg.com/Az6pbu9CYAAxS6s.jpg
60,"Aug 09, 2012 15:40 (UTC)","Sitting @ the great LinnÌ©&#39;s feet in Stockholm, I browse tweets from #ESA2012 half a world away. He would&#39;ve loved that. http://t.co/tuBgTx1S",1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az3feEgCQAAjnfB.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,12,9.80403,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az3feEgCQAAjnfB.jpg%3Asmall,"Sitting the great LinnÌ©'s feet in Stockholm, I browse tweets from #ESA2012 half a world away. He would've loved that.","Aug 09, 2012 15:40 (UTC)",1,image,http://p.twimg.com/Az3feEgCQAAjnfB.jpg
60,"Aug 09, 2012 20:31 (UTC)",Wish I was hanging out with my @USGS peoples at the #ESA2012 exhibit booth! Next year... http://t.co/hwQgd9ho,0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az4iRyTCQAAEuNr.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,12,9.79965,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az4iRyTCQAAEuNr.jpg%3Asmall,Wish I was hanging out with my peoples at the #ESA2012 exhibit booth! Next year...,"Aug 09, 2012 20:31 (UTC)",1,image,http://p.twimg.com/Az4iRyTCQAAEuNr.jpg
47,"Aug 05, 2012 21:31 (UTC)","Sporting my awesome Twitter handle badge, made by @sandramchung! #ESA2012 She gave me a stack.  http://t.co/jMTi75rc",1,https://sis-tunnel.topsy.com/http%3A//cdn1.topsy.com/imgsrv/r%3Fc%3D1%26s%3D1%26h%3D150%26w%3D150%26u%3Dhttp%3A//lockerz.com/s/231607078,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,16,9.7495,https://sis-tunnel.topsy.com/http%3A//cdn1.topsy.com/imgsrv/r%3Fc%3D1%26s%3D1%26h%3D75%26w%3D75%26u%3Dhttp%3A//lockerz.com/s/231607078,"Sporting my awesome Twitter handle badge, made by #ESA2012 She gave me a stack.","Aug 05, 2012 21:31 (UTC)",1,image,http://lockerz.com/s/231607078
57,"Aug 08, 2012 15:00 (UTC)","As per Czekanski-Moir&#39;s request, I&#39;m tweeting a pic of his sweet belt-buckle #esa2012 http://t.co/8ruwHhph",1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzyMtsfCAAEqt-R.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,13,9.7366,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzyMtsfCAAEqt-R.jpg%3Asmall,"As per Czekanski-Moir's request, I'm tweeting a pic of his sweet belt-buckle #esa2012","Aug 08, 2012 15:00 (UTC)",1,image,http://p.twimg.com/AzyMtsfCAAEqt-R.jpg
57,"Aug 07, 2012 22:39 (UTC)",MOAR PUSHPINS #ESA2012 with thanks to @jaimielmcdonald! http://t.co/f3YIxtS8,0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzusOVBCMAALC7R.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,13,9.71547,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzusOVBCMAALC7R.jpg%3Asmall,MOAR PUSHPINS #ESA2012 with thanks to,"Aug 07, 2012 22:39 (UTC)",1,image,http://p.twimg.com/AzusOVBCMAALC7R.jpg
57,"Aug 08, 2012 16:19 (UTC)",Facebook autotagging #fail. Thinks #ESA2012 updates are about European Space Agency! via @psexpress http://t.co/jtzLHitO,1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azye9PHCUAADL2z.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,13,9.71453,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azye9PHCUAADL2z.jpg%3Asmall,Facebook autotagging #fail. Thinks #ESA2012 updates are about European Space Agency! via,"Aug 08, 2012 16:19 (UTC)",1,image,http://p.twimg.com/Azye9PHCUAADL2z.jpg
60,"Aug 09, 2012 09:32 (UTC)",Beautiful science: cover slide of Ian MacGregor-Fors&#39; #ESA2012 #BiodiverCity talk. Art by his s/o Alicia. via @lorises http://t.co/ssPygxAz,1,https://sis-tunnel.topsy.com/http%3A//twitpic.com/show/thumb/ah8dyr,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,12,9.64349,https://sis-tunnel.topsy.com/http%3A//twitpic.com/show/mini/ah8dyr,Beautiful science: cover slide of Ian MacGregor-Fors' #ESA2012 #BiodiverCity talk. Art by his s/o Alicia. via,"Aug 09, 2012 09:32 (UTC)",1,image,http://twitpic.com/ah8dyr
7,"Jul 24, 2012 20:55 (UTC)",#Lisboa #Esa2012 Uno de mis lugares favoritos del mundo (que conozco): La Torre de BelÌ©m http://t.co/cqtbng1I,0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AymOLkOCcAEFK2V.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,28,9.61035,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AymOLkOCcAEFK2V.jpg%3Asmall,Lisboa #Esa2012 Uno de mis lugares favoritos del mundo (que conozco): La Torre de BelÌ©m,"Jul 24, 2012 20:55 (UTC)",1,image,http://p.twimg.com/AymOLkOCcAEFK2V.jpg
