"","screen_name","name","id","desc","location","url","followers","friends","status_count","lang","time_zone","geo","verified","influence","text","tweet_id","tweet_date","retweets","in_reply_to","reply_id","source","coords_type","cooords_lat","coords_long","location_search_id","doc_lang","sentiment"
"1010","CanopyinClouds","Canopy In The Clouds",97439172,"#Innovative #educational #media from the tropical montane cloud #forests of Monteverde, Costa Rica. Get your #canopy fix here...","Monteverde, Costa Rica","http://www.canopyintheclouds.com",195,244,360,"en","Eastern Time (US & Canada)","","",NA,"@labroides the good news about #ESA2012 is that the convention center is actually arctic...so if you wan to escape heat, you're in luck.",232495415860269056,2009-12-17 05:15:10,NA,"labroides",231988467171733504,"web","",NA,NA,"us","en",1
"1011","JChrisPires","J. Chris Pires",325126593,"Biology professor @Mizzou studying #plant #genome #evolution & #bioinformatics, walker of dog, tender of raingardens, #scuba diver & alum of @Cal @Wisconsin ","Columbia, MO","",1044,2001,2612,"en","","True","",NA,"#BSA #ASPB #Education Comm. working on concepts in #plant #biology at the 200-level. Feedback needed by 8/10 #ESA2012 http://t.co/k8ZhDi3n",232495960423555072,2011-06-27 12:43:37,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us/missouri","en",NA
"1012","ERENweb","EcoResearchEdNetwork",159111698,"EREN is the Ecological Research as Education Network.  This is a collaborative group of ecologists at primarily undergraduate institutions of higher learning.","Thoughout the USA","http://www.erenweb.org",20,4,39,"en","Eastern Time (US & Canada)","","",NA,"Opening Plenary by president of ESA, Steward Pickett #esa2012 http://t.co/mDSGorbk",232496057702051840,2010-06-24 06:44:00,NA,"",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","",NA,NA,"us","en",NA
"1013","ethanwhite","Ethan White",34540379,"I'm a happily married dad and a scientist. I like computers, math, stats, and good scotch. I believe in the importance of open science and a free and open web.","Logan, UT","http://whitelab.weecology.org",227,112,1182,"en","Mountain Time (US & Canada)","","",NA,"RT @weecology: Weecology at #ESA2012 http://t.co/AfUCgAEk",232496134931746816,2009-04-22 22:10:52,1,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"","otherlatin",NA
"1014","JChrisPires","J. Chris Pires",325126593,"Biology professor @Mizzou studying #plant #genome #evolution & #bioinformatics, walker of dog, tender of raingardens, #scuba diver & alum of @Cal @Wisconsin ","Columbia, MO","",1044,2001,2613,"en","","True","",NA,"@JenEDavison Hopefully with no slides, Pickett will have a #TED style talk @ #ESA2012",232496157249650688,2011-06-27 12:43:37,NA,"JenEDavison",232495677475794944,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us/missouri","en",NA
"1015","JenEDavison","Jen Davison",308623046,"Finding ways to share science at UWa College of the Environment. Fueled by curiosity, wild places, community, yoga, dogs, chocolate. Views my own.","Seattle, WA","http://depts.washington.edu/coenv/news-blog/",494,594,2934,"en","Pacific Time (US & Canada)","","",NA,"Pickett: The system of ecology comprises Discovery, Engagement w Society, &amp; Community Connecting the 2. Diversity is key to all 3. #esa2012",232497001877618688,2011-05-31 11:31:11,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us","en",NA
"1016","naupakaz","Naupaka Zimmerman",14521062,"Grad student @Stanford.  Microbial ecology, biogeochemistry, micro-mycology. Aspirant boffin, epicure, geek. Also moonlight at @INNGEcologist and @esa_students","Bay Area","",116,357,260,"en","Pacific Time (US & Canada)","","",NA,"S. Pickett: #ESA2012 Presidential address: Ecology as a system in three parts",232497215950688256,2008-04-24 19:03:40,NA,"",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","",NA,NA,"us","en",NA
"1017","ecologyamazon","Fred Whiteman",14246440,"Biologist, Paleoecologist, UNM bio grad student, PiBBs fellow, knitting fiend, amateur uke player, total nerd ","Albuquerque, NM","",256,278,4795,"en","Mountain Time (US & Canada)","True","",NA,"Sorry I'll be missing #ESA2012 after all. I hope those who are there have a great time and tweet the good stuff for us!",232497586739744768,2008-03-28 12:52:14,NA,"",NA,"web","",NA,NA,"us","en",1
"1018","JChrisPires","J. Chris Pires",325126593,"Biology professor @Mizzou studying #plant #genome #evolution & #bioinformatics, walker of dog, tender of raingardens, #scuba diver & alum of @Cal @Wisconsin ","Columbia, MO","",1043,2001,2620,"en","","True","",NA,"RT @JenEDavison: Pickett: The system of ecology comprises Discovery, Engagement w Society, &amp; Community Connecting the 2. Diversity i ...",232497862494285824,2011-06-27 12:43:37,1,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us/missouri","en",NA
"1019","BMC_series","BMC Series",162088304,"The BMC Series is a group of open access, peer reviewed research journals that spans biological and clinical research. Part of @BioMedCentral","","http://www.biomedcentral.com/info/authors/bmcseries",801,350,1469,"en","London","","",NA,"Everyone at #ESA2012 interested in photography and imaging - why not enter our #ImagingEcology competition? http://t.co/JL29Pw3Y",232497903275483136,2010-07-02 10:31:28,NA,"",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","",NA,NA,"","en",NA
