keyword,Time (UTC),timestamp,influential,mentions
#esa2012,"Aug 01, 2012 14:00 (UTC)",1343829600,0,1
#esa2012,"Aug 01, 2012 15:00 (UTC)",1343833200,0,2
#esa2012,"Aug 01, 2012 16:00 (UTC)",1343836800,1,5
#esa2012,"Aug 01, 2012 17:00 (UTC)",1343840400,0,4
#esa2012,"Aug 01, 2012 18:00 (UTC)",1343844000,0,3
#esa2012,"Aug 01, 2012 19:00 (UTC)",1343847600,1,3
#esa2012,"Aug 01, 2012 20:00 (UTC)",1343851200,0,1
#esa2012,"Aug 01, 2012 21:00 (UTC)",1343854800,0,0
#esa2012,"Aug 01, 2012 22:00 (UTC)",1343858400,0,1
#esa2012,"Aug 01, 2012 23:00 (UTC)",1343862000,0,2
#esa2012,"Aug 02, 2012 00:00 (UTC)",1343865600,0,1
#esa2012,"Aug 02, 2012 01:00 (UTC)",1343869200,0,2
#esa2012,"Aug 02, 2012 02:00 (UTC)",1343872800,0,0
#esa2012,"Aug 02, 2012 03:00 (UTC)",1343876400,0,1
#esa2012,"Aug 02, 2012 04:00 (UTC)",1343880000,0,0
#esa2012,"Aug 02, 2012 05:00 (UTC)",1343883600,0,0
#esa2012,"Aug 02, 2012 06:00 (UTC)",1343887200,0,0
#esa2012,"Aug 02, 2012 07:00 (UTC)",1343890800,0,1
#esa2012,"Aug 02, 2012 08:00 (UTC)",1343894400,0,3
#esa2012,"Aug 02, 2012 09:00 (UTC)",1343898000,0,2
#esa2012,"Aug 02, 2012 10:00 (UTC)",1343901600,0,0
#esa2012,"Aug 02, 2012 11:00 (UTC)",1343905200,0,0
#esa2012,"Aug 02, 2012 12:00 (UTC)",1343908800,0,0
#esa2012,"Aug 02, 2012 13:00 (UTC)",1343912400,0,0
#esa2012,"Aug 02, 2012 14:00 (UTC)",1343916000,0,3
#esa2012,"Aug 02, 2012 15:00 (UTC)",1343919600,0,2
#esa2012,"Aug 02, 2012 16:00 (UTC)",1343923200,0,2
#esa2012,"Aug 02, 2012 17:00 (UTC)",1343926800,0,3
#esa2012,"Aug 02, 2012 18:00 (UTC)",1343930400,0,3
#esa2012,"Aug 02, 2012 19:00 (UTC)",1343934000,0,5
#esa2012,"Aug 02, 2012 20:00 (UTC)",1343937600,1,13
#esa2012,"Aug 02, 2012 21:00 (UTC)",1343941200,1,2
#esa2012,"Aug 02, 2012 22:00 (UTC)",1343944800,0,1
#esa2012,"Aug 02, 2012 23:00 (UTC)",1343948400,0,0
#esa2012,"Aug 03, 2012 00:00 (UTC)",1343952000,1,1
#esa2012,"Aug 03, 2012 01:00 (UTC)",1343955600,0,0
#esa2012,"Aug 03, 2012 02:00 (UTC)",1343959200,0,5
#esa2012,"Aug 03, 2012 03:00 (UTC)",1343962800,0,1
#esa2012,"Aug 03, 2012 04:00 (UTC)",1343966400,0,0
#esa2012,"Aug 03, 2012 05:00 (UTC)",1343970000,0,0
#esa2012,"Aug 03, 2012 06:00 (UTC)",1343973600,1,3
#esa2012,"Aug 03, 2012 07:00 (UTC)",1343977200,0,0
#esa2012,"Aug 03, 2012 08:00 (UTC)",1343980800,0,1
#esa2012,"Aug 03, 2012 09:00 (UTC)",1343984400,1,1
#esa2012,"Aug 03, 2012 10:00 (UTC)",1343988000,0,0
#esa2012,"Aug 03, 2012 11:00 (UTC)",1343991600,0,4
#esa2012,"Aug 03, 2012 12:00 (UTC)",1343995200,0,0
#esa2012,"Aug 03, 2012 13:00 (UTC)",1343998800,0,4
#esa2012,"Aug 03, 2012 14:00 (UTC)",1344002400,0,3
#esa2012,"Aug 03, 2012 15:00 (UTC)",1344006000,0,8
#esa2012,"Aug 03, 2012 16:00 (UTC)",1344009600,0,3
#esa2012,"Aug 03, 2012 17:00 (UTC)",1344013200,0,6
#esa2012,"Aug 03, 2012 18:00 (UTC)",1344016800,0,6
#esa2012,"Aug 03, 2012 19:00 (UTC)",1344020400,0,3
#esa2012,"Aug 03, 2012 20:00 (UTC)",1344024000,0,1
#esa2012,"Aug 03, 2012 21:00 (UTC)",1344027600,2,7
#esa2012,"Aug 03, 2012 22:00 (UTC)",1344031200,0,3
#esa2012,"Aug 03, 2012 23:00 (UTC)",1344034800,1,6
#esa2012,"Aug 04, 2012 00:00 (UTC)",1344038400,0,15
#esa2012,"Aug 04, 2012 01:00 (UTC)",1344042000,0,1
#esa2012,"Aug 04, 2012 02:00 (UTC)",1344045600,0,0
#esa2012,"Aug 04, 2012 03:00 (UTC)",1344049200,1,1
#esa2012,"Aug 04, 2012 04:00 (UTC)",1344052800,0,4
#esa2012,"Aug 04, 2012 05:00 (UTC)",1344056400,0,0
#esa2012,"Aug 04, 2012 06:00 (UTC)",1344060000,0,1
#esa2012,"Aug 04, 2012 07:00 (UTC)",1344063600,0,1
#esa2012,"Aug 04, 2012 08:00 (UTC)",1344067200,0,0
#esa2012,"Aug 04, 2012 09:00 (UTC)",1344070800,0,1
#esa2012,"Aug 04, 2012 10:00 (UTC)",1344074400,0,0
#esa2012,"Aug 04, 2012 11:00 (UTC)",1344078000,1,1
#esa2012,"Aug 04, 2012 12:00 (UTC)",1344081600,0,0
#esa2012,"Aug 04, 2012 13:00 (UTC)",1344085200,0,2
#esa2012,"Aug 04, 2012 14:00 (UTC)",1344088800,1,6
#esa2012,"Aug 04, 2012 15:00 (UTC)",1344092400,1,8
#esa2012,"Aug 04, 2012 16:00 (UTC)",1344096000,0,17
#esa2012,"Aug 04, 2012 17:00 (UTC)",1344099600,0,16
#esa2012,"Aug 04, 2012 18:00 (UTC)",1344103200,1,13
#esa2012,"Aug 04, 2012 19:00 (UTC)",1344106800,0,4
#esa2012,"Aug 04, 2012 20:00 (UTC)",1344110400,0,0
#esa2012,"Aug 04, 2012 21:00 (UTC)",1344114000,0,5
#esa2012,"Aug 04, 2012 22:00 (UTC)",1344117600,0,4
#esa2012,"Aug 04, 2012 23:00 (UTC)",1344121200,0,4
#esa2012,"Aug 05, 2012 00:00 (UTC)",1344124800,0,0
#esa2012,"Aug 05, 2012 01:00 (UTC)",1344128400,1,5
#esa2012,"Aug 05, 2012 02:00 (UTC)",1344132000,1,4
#esa2012,"Aug 05, 2012 03:00 (UTC)",1344135600,0,4
#esa2012,"Aug 05, 2012 04:00 (UTC)",1344139200,0,3
#esa2012,"Aug 05, 2012 05:00 (UTC)",1344142800,1,3
#esa2012,"Aug 05, 2012 06:00 (UTC)",1344146400,0,0
#esa2012,"Aug 05, 2012 07:00 (UTC)",1344150000,1,2
#esa2012,"Aug 05, 2012 08:00 (UTC)",1344153600,3,3
#esa2012,"Aug 05, 2012 09:00 (UTC)",1344157200,1,1
#esa2012,"Aug 05, 2012 10:00 (UTC)",1344160800,2,2
#esa2012,"Aug 05, 2012 11:00 (UTC)",1344164400,2,2
#esa2012,"Aug 05, 2012 12:00 (UTC)",1344168000,2,2
#esa2012,"Aug 05, 2012 13:00 (UTC)",1344171600,0,7
#esa2012,"Aug 05, 2012 14:00 (UTC)",1344175200,1,6
#esa2012,"Aug 05, 2012 15:00 (UTC)",1344178800,1,4
#esa2012,"Aug 05, 2012 16:00 (UTC)",1344182400,2,7
#esa2012,"Aug 05, 2012 17:00 (UTC)",1344186000,5,13
#esa2012,"Aug 05, 2012 18:00 (UTC)",1344189600,1,25
#esa2012,"Aug 05, 2012 19:00 (UTC)",1344193200,1,9
#esa2012,"Aug 05, 2012 20:00 (UTC)",1344196800,0,20
#esa2012,"Aug 05, 2012 21:00 (UTC)",1344200400,5,27
#esa2012,"Aug 05, 2012 22:00 (UTC)",1344204000,1,23
#esa2012,"Aug 05, 2012 23:00 (UTC)",1344207600,1,15
#esa2012,"Aug 06, 2012 00:00 (UTC)",1344211200,13,112
#esa2012,"Aug 06, 2012 01:00 (UTC)",1344214800,4,122
#esa2012,"Aug 06, 2012 02:00 (UTC)",1344218400,0,36
#esa2012,"Aug 06, 2012 03:00 (UTC)",1344222000,0,10
#esa2012,"Aug 06, 2012 04:00 (UTC)",1344225600,2,12
#esa2012,"Aug 06, 2012 05:00 (UTC)",1344229200,5,25
#esa2012,"Aug 06, 2012 06:00 (UTC)",1344232800,2,8
#esa2012,"Aug 06, 2012 07:00 (UTC)",1344236400,0,0
#esa2012,"Aug 06, 2012 08:00 (UTC)",1344240000,1,6
#esa2012,"Aug 06, 2012 09:00 (UTC)",1344243600,1,1
#esa2012,"Aug 06, 2012 10:00 (UTC)",1344247200,5,8
#esa2012,"Aug 06, 2012 11:00 (UTC)",1344250800,0,1
#esa2012,"Aug 06, 2012 12:00 (UTC)",1344254400,0,6
#esa2012,"Aug 06, 2012 13:00 (UTC)",1344258000,3,9
#esa2012,"Aug 06, 2012 14:00 (UTC)",1344261600,5,35
#esa2012,"Aug 06, 2012 15:00 (UTC)",1344265200,6,62
#esa2012,"Aug 06, 2012 16:00 (UTC)",1344268800,16,182
#esa2012,"Aug 06, 2012 17:00 (UTC)",1344272400,5,79
#esa2012,"Aug 06, 2012 18:00 (UTC)",1344276000,7,99
#esa2012,"Aug 06, 2012 19:00 (UTC)",1344279600,4,63
#esa2012,"Aug 06, 2012 20:00 (UTC)",1344283200,6,58
#esa2012,"Aug 06, 2012 21:00 (UTC)",1344286800,30,123
#esa2012,"Aug 06, 2012 22:00 (UTC)",1344290400,25,112
#esa2012,"Aug 06, 2012 23:00 (UTC)",1344294000,36,148
#esa2012,"Aug 07, 2012 00:00 (UTC)",1344297600,7,48
#esa2012,"Aug 07, 2012 01:00 (UTC)",1344301200,0,23
#esa2012,"Aug 07, 2012 02:00 (UTC)",1344304800,0,9
#esa2012,"Aug 07, 2012 03:00 (UTC)",1344308400,0,9
#esa2012,"Aug 07, 2012 04:00 (UTC)",1344312000,1,7
#esa2012,"Aug 07, 2012 05:00 (UTC)",1344315600,0,6
#esa2012,"Aug 07, 2012 06:00 (UTC)",1344319200,2,32
#esa2012,"Aug 07, 2012 07:00 (UTC)",1344322800,3,13
#esa2012,"Aug 07, 2012 08:00 (UTC)",1344326400,1,4
#esa2012,"Aug 07, 2012 09:00 (UTC)",1344330000,0,2
#esa2012,"Aug 07, 2012 10:00 (UTC)",1344333600,0,2
#esa2012,"Aug 07, 2012 11:00 (UTC)",1344337200,0,2
#esa2012,"Aug 07, 2012 12:00 (UTC)",1344340800,0,0
#esa2012,"Aug 07, 2012 13:00 (UTC)",1344344400,8,18
#esa2012,"Aug 07, 2012 14:00 (UTC)",1344348000,7,24
#esa2012,"Aug 07, 2012 15:00 (UTC)",1344351600,5,49
#esa2012,"Aug 07, 2012 16:00 (UTC)",1344355200,10,93
#esa2012,"Aug 07, 2012 17:00 (UTC)",1344358800,19,163
#esa2012,"Aug 07, 2012 18:00 (UTC)",1344362400,24,118
#esa2012,"Aug 07, 2012 19:00 (UTC)",1344366000,3,91
#esa2012,"Aug 07, 2012 20:00 (UTC)",1344369600,18,120
#esa2012,"Aug 07, 2012 21:00 (UTC)",1344373200,12,128
#esa2012,"Aug 07, 2012 22:00 (UTC)",1344376800,3,62
#esa2012,"Aug 07, 2012 23:00 (UTC)",1344380400,11,65
#esa2012,"Aug 08, 2012 00:00 (UTC)",1344384000,5,32
#esa2012,"Aug 08, 2012 01:00 (UTC)",1344387600,4,34
#esa2012,"Aug 08, 2012 02:00 (UTC)",1344391200,1,25
#esa2012,"Aug 08, 2012 03:00 (UTC)",1344394800,2,21
#esa2012,"Aug 08, 2012 04:00 (UTC)",1344398400,0,10
#esa2012,"Aug 08, 2012 05:00 (UTC)",1344402000,6,16
#esa2012,"Aug 08, 2012 06:00 (UTC)",1344405600,1,16
#esa2012,"Aug 08, 2012 07:00 (UTC)",1344409200,1,11
#esa2012,"Aug 08, 2012 08:00 (UTC)",1344412800,2,5
#esa2012,"Aug 08, 2012 09:00 (UTC)",1344416400,2,4
#esa2012,"Aug 08, 2012 10:00 (UTC)",1344420000,3,5
#esa2012,"Aug 08, 2012 11:00 (UTC)",1344423600,2,10
#esa2012,"Aug 08, 2012 12:00 (UTC)",1344427200,0,15
#esa2012,"Aug 08, 2012 13:00 (UTC)",1344430800,0,10
#esa2012,"Aug 08, 2012 14:00 (UTC)",1344434400,4,25
#esa2012,"Aug 08, 2012 15:00 (UTC)",1344438000,13,110
#esa2012,"Aug 08, 2012 16:00 (UTC)",1344441600,21,151
#esa2012,"Aug 08, 2012 17:00 (UTC)",1344445200,45,157
#esa2012,"Aug 08, 2012 18:00 (UTC)",1344448800,26,147
#esa2012,"Aug 08, 2012 19:00 (UTC)",1344452400,5,43
#esa2012,"Aug 08, 2012 20:00 (UTC)",1344456000,6,127
#esa2012,"Aug 08, 2012 21:00 (UTC)",1344459600,60,328
#esa2012,"Aug 08, 2012 22:00 (UTC)",1344463200,32,227
#esa2012,"Aug 08, 2012 23:00 (UTC)",1344466800,19,142
#esa2012,"Aug 09, 2012 00:00 (UTC)",1344470400,1,14
#esa2012,"Aug 09, 2012 01:00 (UTC)",1344474000,2,25
#esa2012,"Aug 09, 2012 02:00 (UTC)",1344477600,7,45
#esa2012,"Aug 09, 2012 03:00 (UTC)",1344481200,0,17
#esa2012,"Aug 09, 2012 04:00 (UTC)",1344484800,1,4
#esa2012,"Aug 09, 2012 05:00 (UTC)",1344488400,7,22
#esa2012,"Aug 09, 2012 06:00 (UTC)",1344492000,1,19
#esa2012,"Aug 09, 2012 07:00 (UTC)",1344495600,0,5
#esa2012,"Aug 09, 2012 08:00 (UTC)",1344499200,0,16
#esa2012,"Aug 09, 2012 09:00 (UTC)",1344502800,1,3
#esa2012,"Aug 09, 2012 10:00 (UTC)",1344506400,1,3
#esa2012,"Aug 09, 2012 11:00 (UTC)",1344510000,1,2
#esa2012,"Aug 09, 2012 12:00 (UTC)",1344513600,5,15
#esa2012,"Aug 09, 2012 13:00 (UTC)",1344517200,1,16
#esa2012,"Aug 09, 2012 14:00 (UTC)",1344520800,0,42
#esa2012,"Aug 09, 2012 15:00 (UTC)",1344524400,6,103
#esa2012,"Aug 09, 2012 16:00 (UTC)",1344528000,4,96
#esa2012,"Aug 09, 2012 17:00 (UTC)",1344531600,27,133
#esa2012,"Aug 09, 2012 18:00 (UTC)",1344535200,9,113
#esa2012,"Aug 09, 2012 19:00 (UTC)",1344538800,3,94
#esa2012,"Aug 09, 2012 20:00 (UTC)",1344542400,15,108
#esa2012,"Aug 09, 2012 21:00 (UTC)",1344546000,9,124
